Month,Price
Jan-13,"5,708.32"
Feb-13,"5,784.94"
Mar-13,"5,575.84"
Apr-13,"5,375.04"
May-13,"5,468.66"
Jun-13,"5,817.69"
Jul-13,"6,292.38"
Aug-13,"6,836.67"
Sep-13,"6,926.83"
Oct-13,"6,497.77"
Nov-13,"6,435.78"
Dec-13,"6,534.28"
Jan-14,"6,344.00"
Feb-14,"6,529.28"
Mar-14,"6,343.00"
Apr-14,"6,329.60"
May-14,"6,273.13"
Jun-14,"6,471.05"
Jul-14,"6,320.51"
Aug-14,"6,092.56"
Sep-14,"5,835.69"
Oct-14,"5,280.84"
Nov-14,"4,748.53"
Dec-14,"3,806.55"
Jan-15,"2,927.20"
Feb-15,"3,398.51"
Mar-15,"3,299.23"
Apr-15,"3,611.03"
May-15,"3,988.78"
Jun-15,"3,915.30"
Jul-15,"3,458.51"
Aug-15,"2,973.16"
Sep-15,"3,064.43"
Oct-15,"3,055.95"
Nov-15,"2,847.43"
Dec-15,"2,435.40"
Jan-16,"2,004.00"
Feb-16,"2,117.58"
Mar-16,"2,503.95"
Apr-16,"2,708.63"
May-16,"3,072.75"
Jun-16,"3,208.66"
Jul-16,"2,966.28"
Aug-16,"3,004.16"
Sep-16,"3,006.05"
Oct-16,"3,290.46"
Nov-16,"3,056.29"
Dec-16,"3,572.84"
Jan-17,"3,649.89"
Feb-17,"3,647.03"
Mar-17,"3,355.09"
Apr-17,"3,365.04"
May-17,"3,213.83"
Jun-17,"2,975.01"
Jul-17,"3,071.23"
Aug-17,"3,194.46"
Sep-17,"3,413.19"
Oct-17,"3,574.53"
Nov-17,"3,887.81"
Dec-17,"3,930.99"
Jan-18,"4,215.16"
Feb-18,"4,085.16"
Mar-18,"4,171.72"
Apr-18,"4,516.93"
May-18,"4,959.75"
Jun-18,"4,879.75"
Jul-18,"4,992.51"
Aug-18,"4,942.53"
Sep-18,"5,448.55"
Oct-18,"5,648.69"
Nov-18,"4,476.09"
Dec-18,"3,822.07"
Jan-19,"4,003.08"
Feb-19,"4,352.94"
Mar-19,"4,432.04"
Apr-19,"4,761.33"
May-19,"4,664.02"
Jun-19,"4,149.67"
Jul-19,"4,230.22"
Aug-19,"4,102.97"
Sep-19,"4,282.87"
Oct-19,"4,069.14"
Nov-19,"4,314.32"
Dec-19,"4,509.77"
Jan-20,"4,395.91"
Feb-20,"3,811.78"
Mar-20,"2,392.98"
Apr-20,"1,603.02"
May-20,"2,298.55"
Jun-20,"2,987.46"
Jul-20,"3,156.01"
Aug-20,"3,243.75"
Sep-20,"2,984.05"
Oct-20,"2,931.66"
Nov-20,"3,141.53"
Dec-20,"3,589.35"
Jan-21,"3,918.56"
Feb-21,"4,399.41"
Mar-21,"4,646.36"
Apr-21,"4,684.64"
May-21,"4,870.98"
Jun-21,"5,281.48"
Jul-21,"5,460.90"
Aug-21,"5,108.73"
Sep-21,"5,359.17"
Oct-21,"6,146.58"
Nov-21,"5,952.69"
Dec-21,"5,504.55"
Jan-22,"6,247.71"
Feb-22,"7,018.51"
Mar-22,"8,569.88"
Apr-22,"7,877.96"
May-22,"8,511.74"
Jun-22,"9,119.55"
Jul-22,"8,366.39"
Aug-22,"7,634.90"
Sep-22,"7,079.45"
Oct-22,"7,437.13"
Nov-22,"7,150.11"
Dec-22,"6,429.95"
Jan-23,"6,584.69"
Feb-23,"6,628.99"
Mar-23,"6,292.90"
Apr-23,"6,763.43"
May-23,"6,102.52"
